,created_at,text,coordinates
12,Tue Dec 31 22:48:10 +0000 2013,Last sunset here in #boulder #flatirons @ Dushanbe Teahouse http://t.co/9rvCNWCChv,"{'type': 'Point', 'coordinates': [-105.27725101, 40.01544423]}"
13,Wed Jan 01 04:57:01 +0000 2014,Ringing in the #NewYear @BMoCA for their NYE at the Factory event! Surrounded by #art and Warholesque fun :) #Boulder,"{'type': 'Point', 'coordinates': [-105.2769568, 40.01579474]}"
14,Tue Dec 31 01:03:10 +0000 2013,"Desert Big Horn ram in Monument Canyon yesterday, courtesy: Jennifer Binkley #COwx #GJCO #WesternSlope #wildlife http://t.co/Ml5GYciY8C",
15,Tue Dec 31 23:30:21 +0000 2013,#Louisville #sunset #Colorado #Boulder #Flatirons @ Hunter's Ridge http://t.co/sh5qA39rPU,"{'type': 'Point', 'coordinates': [-105.14533765, 39.98767028]}"
16,Tue Dec 31 15:38:35 +0000 2013,"When the wind feels like it wants to destroy the chimney, i know it's going to be an interesting bike commute #Boulder","{'type': 'Point', 'coordinates': [-105.23082163, 39.99946795]}"
17,Tue Dec 31 23:00:48 +0000 2013,Clasped hands #rockwall #boulder @ Hangar 18 Indoor Climbing Gym http://t.co/TEjW3Txt6v,"{'type': 'Point', 'coordinates': [-118.36457491, 33.90057323]}"
18,Tue Dec 31 23:40:42 +0000 2013,"Depending on where you live, anywhere from 0 to 2"" of wet #snow is possible Wed, Jan 1 across #Denver metro. Stay tuned... #COwx #weather",
19,Wed Jan 01 00:10:49 +0000 2014,Can't you read the sign? Bridge is out still at South Boulder Creek #boulderflood #boco_Trails @ South… http://t.co/PMwLrssnvv,"{'type': 'Point', 'coordinates': [-105.22207764, 39.98664341]}"
20,Tue Dec 31 02:56:53 +0000 2013,A weak disturbance brings #snow to the northern and central mountains tomorrow. #WesternSlope forecast: https://t.co/Qcy5NECPsv #COwx #GJCO,
21,Tue Dec 31 03:02:53 +0000 2013,"Did anyone lose a boat at Highline Lake?  Image, courtesy: Tracy DiGesualdo #GJCO #WesternSlope #COwx http://t.co/wOAK1gGBd7",
22,Tue Dec 31 23:39:35 +0000 2013,RT @BrendansWeather: Chance snow tonight/New Years Day. Light accumulation possible. Follow @weather5280 #cowx,
23,Tue Dec 31 03:58:41 +0000 2013,"“@EricRobertson: Second winter sky shot. #colorado #nightsky #cowx http://t.co/fzx0NsXM5j”

Awesome! Need to get to CO","{'type': 'Point', 'coordinates': [-74.12520647, 40.10432876]}"
24,Wed Jan 01 03:36:11 +0000 2014,Happy New Year to our #Boulder community family &amp; friends! We are grateful to begin another year in such an amazing city!,"{'type': 'Point', 'coordinates': [-105.03197389, 39.93687082]}"
25,Tue Dec 31 00:40:27 +0000 2013,All day #happyhour today!! Woohoo! #boulder #japango #sushi,
26,Mon Dec 30 22:00:15 +0000 2013,Cool afternoon cloud formation #boulder #colorado #clouds http://t.co/oLpyDn0Naw,
27,Mon Dec 30 20:09:14 +0000 2013,View down Schoolmarm trail today via @gopro photo. #gopro #cowx #colorado http://t.co/TIeHMO91cR,
28,Tue Dec 31 18:41:33 +0000 2013,"HPC has updated maps to show &gt;0.10"" precip falling across #Denver metro on Wednesday; would be #snow. #COwx #weather http://t.co/RpEfPPIWGQ",
29,Wed Jan 01 00:03:58 +0000 2014,"Depending on where you live, anywhere from 0 to 2” of wet #snow is possible Wed, Jan 1 across #Denver metro. Stay tuned… #COwx #weather",
30,Tue Dec 31 20:05:25 +0000 2013,RT @CUgrlproblems: One year. #Boulder #Colorado #CUgrlproblems http://t.co/oNk0QLeSU5,
31,Tue Dec 31 06:29:59 +0000 2013,"Up to 2"" of #snow is *possible* Wednesday across the greater #Denver metro area. Updates tomorrow... #COwx #weather #Boulder",
32,Tue Dec 31 22:52:39 +0000 2013,"RT @coloradowx: NWS has only bumped up tomrorow's odds for #snow in #Denver from 30 to 40%. To me it ""feels"" like it should be closer to 60…",
33,Tue Dec 31 23:18:42 +0000 2013,Walkies #boulder http://t.co/p0nra3MMSi,
34,Tue Dec 31 20:54:18 +0000 2013,RT @oskarblues: Today's the last day of OB matching donations 100% to @CANdAid to help #COFlood victims http://t.co/npkmBLw6B6 http://t.co/…,
35,Wed Jan 01 05:13:50 +0000 2014,#boulder @ Centro Latin Kitchen &amp; Refreshment Palace http://t.co/cm7cXv1ptf,"{'type': 'Point', 'coordinates': [-105.282502, 40.01724753]}"
36,Wed Jan 01 05:51:04 +0000 2014,"Midnight temps on #NYE since we moved to @StapletonDenver in 2009: 20°, 0°, 25°, 14°. It's 40° right now. #cowx #timeforfireworks",
37,Mon Dec 30 23:59:38 +0000 2013,Happy to be back for these... #boulder #sunset #itsgettinrealinthewholefoodsparkinglot http://t.co/zK4sPtPAR0,
38,Tue Dec 31 19:53:40 +0000 2013,RT @CUgrlproblems: One year. #Boulder #Colorado #CUgrlproblems http://t.co/oNk0QLeSU5,
39,Tue Dec 31 00:31:09 +0000 2013,Heads up @diana_m_lind and @bruce_katz ..The two hottest #SiliconCities in my estimation are #Denver and #Boulder http://t.co/onkW451MRw,"{'type': 'Point', 'coordinates': [-104.89177055, 39.70941648]}"
40,Wed Jan 01 04:13:07 +0000 2014,"The sun sets on 2013 in Arriola, #Colorado tonight, courtesy: Vandy Brinlee #COwx #FourCorners #WesternSlope #sunset http://t.co/KvnVH5rqZl",
41,Wed Jan 01 00:03:38 +0000 2014,"RT @coloradowx: Depending on where you live, anywhere from 0 to 2"" of wet #snow is possible Wed, Jan 1 across #Denver metro. Stay tuned... …",
42,Tue Dec 31 23:40:42 +0000 2013,"Depending on where you live, anywhere from 0 to 2"" of wet #snow is possible Wed, Jan 1 across #Denver metro. Stay tuned... #COwx #weather",
43,Wed Jan 01 02:52:42 +0000 2014,"Mountain #snow overnight on the #WesternSlope, sunshine in the valleys on New Years Day. Forecast: https://t.co/CjWFZvtEEt #COwx #GJCO",
44,Tue Dec 31 05:06:11 +0000 2013,NWS only has 30% chance of #snow for Wednesday; I expect that will go up (considerably??) tomorrow... #COwx #weather #Denver,
45,Wed Jan 01 00:05:26 +0000 2014,All You Can Eat #sushi tonight!! We can't think of a better way to spend #NYE! #boulder #japango,
46,Tue Dec 31 23:55:10 +0000 2013,"#NYE2013 @SaltBistro #vegan caviar starter...yes #Boulder, we have ALL of you covered this NYE http://t.co/kLFoWk6pxP","{'type': 'Point', 'coordinates': [-105.28138182, 40.01772222]}"
47,Wed Jan 01 05:48:23 +0000 2014,"Home safe after riding to a pre-New Year's party with some of my closest #Boulder friends. Happy New Year. Next ride: 10am, 2014.",
48,Wed Jan 01 03:21:16 +0000 2014,Pretty good New Year's Eve forecast for #Denver with mostly cloudy skies and temps in the low to mid 30s by midnight #cowx @850KOA,
49,Tue Dec 31 06:21:26 +0000 2013,#boulder ❤️ #vscocam http://t.co/bmCBh9QFcX,
50,Tue Dec 31 18:32:49 +0000 2013,"If you'd like to see #snow tomorrow in #Denver, root for the EURO or GFS! ;) If not, root for the NAM/SREF. Jury's still out. #COwx #weather",
51,Tue Dec 31 05:02:13 +0000 2013,"Just got back to #Colorado; here's the low-down: 1-2"" #snow possible Wed in #Denver; much colder overall pattern Jan 6--&gt;(?) #COwx #weather",
52,Tue Dec 31 22:56:06 +0000 2013,Sushi for the last meal of 2013 sounds pretty perfect! #boulder #japango #sushi,
53,Wed Jan 01 03:58:47 +0000 2014,"Wishing u the best 2014 full of joy, blessing, good food, #wine, love, friendship, #music &amp; #art! #boulder #bucknell #denver",
54,Wed Jan 01 06:59:33 +0000 2014,#boulder #pescado @ Jax Fish House Boulder http://t.co/YsIbRyY1ix,"{'type': 'Point', 'coordinates': [-105.283146, 40.01718]}"
55,Wed Jan 01 00:00:39 +0000 2014,Sunset alert Colorado Springs! #COwx,
56,Tue Dec 31 18:39:24 +0000 2013,"@jhughes722 EURO now produces &gt;0.20""; hard to ignore blend of that + GFS (~0.15"") over NAM/SREF which are essentially dry. #Denver #COwx","{'type': 'Point', 'coordinates': [-104.97910699, 39.73105091]}"
57,Tue Dec 31 14:43:25 +0000 2013,"Good morning, CO! Happy commuting from #FortCollins to #Denver. #COwx http://t.co/RITIinvA5S",
58,Mon Dec 30 19:07:56 +0000 2013,Stoked to be on the front page of the @DailyCamera newspaper today! #boulder http://t.co/jMElTYvVKm,"{'type': 'Point', 'coordinates': [-105.27294396, 40.01931459]}"
59,Mon Dec 30 19:25:26 +0000 2013,Any plans for the New Year?? #japango #boulder #sushi,
60,Tue Dec 31 18:52:56 +0000 2013,"@birdman247365 12z GFS actually prints out 0.15"" for DEN &amp; 12z EURO 0.23"" -- not exactly nothing. Yes, N/S gradient appears, too. #COwx",
61,Mon Dec 30 21:53:48 +0000 2013,RT @ColoradoClimate: What would make your top 10 list of Colorado weather events in 2013 besides the Sept. floods? #cowx,
62,Tue Dec 31 21:55:26 +0000 2013,#boulder #colorado #mountain #skyscape of the day! @ Meadows Shopping Center http://t.co/dPk9uhM95i,"{'type': 'Point', 'coordinates': [-105.23453395, 39.99897714]}"
63,Tue Dec 31 05:17:43 +0000 2013,Court House #Boulder #Christmaslights http://t.co/UCn9JNer2q,
64,Tue Dec 31 23:49:00 +0000 2013,#NewYearsEve @TahonaBistro will be the most live #danceparty of the year.  If you are on Pearl in #Boulder This is where the #party is at.,"{'type': 'Point', 'coordinates': [-105.27925649, 40.04113664]}"
65,Mon Dec 30 23:25:56 +0000 2013,Rude awakening back in #boulder today. 4 workouts completed...I think Curt's trying to kill me #training,"{'type': 'Point', 'coordinates': [-105.25264863, 39.99189232]}"
66,Tue Dec 31 18:50:18 +0000 2013,"RT @coloradowx: HPC has updated maps to show &gt;0.10"" precip falling across #Denver metro on Wednesday; would be #snow. #COwx #weather http:/…",
67,Tue Dec 31 05:02:24 +0000 2013,Glorious day in #Boulder! First hike in ages &amp; my lungs did well. YES!!! @NJHealth http://t.co/S6PhDUp1aL,
68,Wed Jan 01 03:20:12 +0000 2014,"RT @OnlyInBoulder: Final Sunset of 2013, Over the Great State of #Colorado
http://t.co/JbQEmUdCza
(Via @Foxtographer // #Boulder",
69,Tue Dec 31 17:50:52 +0000 2013,Happy New Years Eve everyone! #boulder #sushi #japango,
70,Tue Dec 31 18:26:20 +0000 2013,"#Sunrise colors yesterday over #Colorado's San Miguel Mountains, courtesy: Vandy Brinlee #COwx #FourCorners http://t.co/HFMdq1AWYm",
71,Mon Dec 30 20:08:15 +0000 2013,Gotta love #Boulder.  This was outside the doctors office. @ Wonderland Lake Park http://t.co/uEKlxYVk6l,"{'type': 'Point', 'coordinates': [-105.28807801, 40.04802613]}"
72,Tue Dec 31 07:01:32 +0000 2013,Not a bad #welcomehome. #nofilter #boulder #colorado http://t.co/YmT7QGUazQ,
73,Sun Dec 29 12:10:54 +0000 2013,It appears we've got an inch or two of snow on the ground this morning.  #cowx,
74,Mon Dec 30 01:21:10 +0000 2013,I found the #boulder tundra @ Lost Lake http://t.co/ceWVgHaeQn,"{'type': 'Point', 'coordinates': [-105.2689, 40.021]}"
75,Sun Dec 29 02:19:06 +0000 2013,@TornadoTitans not to say it's the best but it was a close call with almost being struck by lightning #COwx http://t.co/GFXOQO93E6,
76,Sun Dec 29 00:50:35 +0000 2013,RT @schneidan: What started as a balmy Denver day has turned chillier as dark clouds roll over the Front Range. #COwx http://t.co/JG8tdDg9k9,
77,Mon Dec 30 14:39:31 +0000 2013,"Almost over this cold, so it's a good morning in #boulder #flatirons #nofilter http://t.co/2OMH7OosIk",
78,Sun Dec 29 21:11:12 +0000 2013,Sunday brunch in #Boulder @ Dushanbe Teahouse http://t.co/Z8fKJcF76f,"{'type': 'Point', 'coordinates': [-105.27725101, 40.01544423]}"
79,Sun Dec 29 04:11:59 +0000 2013,Whats good in Boulder tonight? #CUBoulder #Boulder #CU,"{'type': 'Point', 'coordinates': [-105.2572079, 40.0017696]}"
80,Sun Dec 29 20:44:20 +0000 2013,"RT @TimesCall: As a Loveland woman faced a drowning death, she called her father to say goodbye. #cofloods #cowx http://t.co/YtjnhFhl0M",
81,Sun Dec 29 05:09:43 +0000 2013,"""@slv_911: Snow is falling in parts of the #SLV. Road conditons can change rapidly. Drive carefully! #cowx""","{'type': 'Point', 'coordinates': [-106.0145282, 38.5350477]}"
82,Sun Dec 29 18:26:21 +0000 2013,A eulogy to 2013 - #Boulder Daily Camera #tooharsh?  http://t.co/T9kndJB1J9 via @dailycamera,
83,Sun Dec 29 01:33:31 +0000 2013,RT @WeatherDude17: Light snow falling in Highlands Ranch. #COWX,
84,Sun Dec 29 03:28:41 +0000 2013,Snow! Pics anyone? #cowx http://t.co/nLHnApq7og,"{'type': 'Point', 'coordinates': [-104.976711, 39.688864]}"
85,Sun Dec 29 17:02:39 +0000 2013,What a weekend it's been! #boulder #pearlst #japango,
86,Sun Dec 29 03:32:11 +0000 2013,It's snowing in @StapletonDenver. #cowx http://t.co/EtQLlVJ6xT,
87,Mon Dec 30 11:21:35 +0000 2013,"What's going on in #Boulder, #Colorado? Check out this great new app for news and weather! http://t.co/m16tVbvRTE","{'type': 'Point', 'coordinates': [-105.27056, 40.01533]}"
88,Sun Dec 29 22:02:26 +0000 2013,Sunday #sushi dinner anyone? #sundayfunday #boulder #japango,
89,Mon Dec 30 17:57:56 +0000 2013,"The desert in winter north of Gateway, #Colorado.  Taken Saturday, courtesy: Klaus Alfred Girk #COwx #UTwx http://t.co/xFQIDE74vm",
90,Mon Dec 30 02:28:56 +0000 2013,"#Sunrise yesterday morning from Whitewater, #Colorado, courtesy: Beth Signor Sanders #WesternSlope #COwx #GJCO http://t.co/yndvWRuLz8",
91,Sun Dec 29 22:41:45 +0000 2013,We went north of Prague today to visit an old friend! @summerstudy #boulder #colorado #seeyouinsochi @… http://t.co/4hOolwZuNh,"{'type': 'Point', 'coordinates': [14.60583556, 50.1575859]}"
92,Mon Dec 30 05:34:32 +0000 2013,"10 #Boulder County companies, business trends to watch in 2014 http://t.co/aKhVPhJc7r",
93,Sun Dec 29 22:03:56 +0000 2013,Hey #Boulder! Need one last #massage or #acupuncture session for 2013.  Still a few spots left. Book ASAP!! http://t.co/rZgkE4ESGT #TuneUp,
94,Sun Dec 29 09:58:21 +0000 2013,Light snow falling over #Denver right now should clear to leave a cold day. #COWX #miwx,
95,Mon Dec 30 18:46:16 +0000 2013,RT @WeatherDecTech: #COLORADO: Natural Resources &amp; Conservation Service report says statewide snowpack is at 110%t of its 30yr avg. #cowx #…,
96,Mon Dec 30 02:16:05 +0000 2013,"#Sunrise from near Mack, #Colorado yesterday morning, courtesy: Lovell Sackett #COwx #WesternSlope #GJCO http://t.co/yCrRqTbzIg",
97,Sun Dec 29 23:37:24 +0000 2013,RT @dailycamera: UPDATE: Man shot by #Boulder sheriff's deputy near Longmont today has died http://t.co/C3yNmdkr6z via @timescall,
98,Sun Dec 29 02:14:50 +0000 2013,MT @martyconiglio: #Snow is just staring in downtown #Denver.  #COwx #weather http://t.co/wUC33b4ULd,
99,Mon Dec 30 00:01:37 +0000 2013,Your first order of edamame is free tonight! #dailyspecials #sushi #healthy #boulder,
100,Sun Dec 29 23:41:32 +0000 2013,"RT @danncianca: Stacked lenticulars over a range of the San Juans on Tues, courtesy: Vandy Brinlee #COwx #FourCorners #WesternSlope http://…",
101,Mon Dec 30 04:49:59 +0000 2013,Starting to look like ~Jan 5-15 *could* offer sustained cold &amp; chances for #snow across #Denver metro. Will monitor... #COwx #weather,
102,Sun Dec 29 02:18:29 +0000 2013,Pre-game eats. CU Buffs tonight. #Boulder http://t.co/dMjElVGUeQ,
103,Sun Dec 29 04:57:26 +0000 2013,Good little snow band in SE #Aurora #cowx http://t.co/58G8VHFdh4,
104,Sun Dec 29 03:06:04 +0000 2013,CU Buffs Go! #Boulder http://t.co/QtL9wVlwXC,
105,Sun Dec 29 22:49:37 +0000 2013,@_nataliebeal HAHAHAHAHAHA @keirpolczynski you heard this? It rate would work though hahahaha #boulder,"{'type': 'Point', 'coordinates': [-1.41406024, 53.23111531]}"
106,Sun Dec 29 18:28:59 +0000 2013,One of my first stops in #Boulder. #itsbeentoolong http://t.co/AvivnhgoeN,"{'type': 'Point', 'coordinates': [-105.25668718, 40.02197219]}"
107,Sun Dec 29 02:03:26 +0000 2013,"RT @martyconiglio: Large, wet snowflakes coming down in the foothills.  #9WX #cowx http://t.co/ioSPEQKwVW http://t.co/JKNRE7Lbld",
108,Mon Dec 30 17:05:02 +0000 2013,"Happy Monday!! 2 days left in 2013, make them great!! #Mondaymotivation #boulder #japango",
109,Mon Dec 30 18:19:26 +0000 2013,"#snow-cover lingers in #Colorado's Grand Valley, despite the sun! Taken yesterday, courtesy: Tracy DiGesualdo #COwx http://t.co/7R2VPn61vL",
110,Mon Dec 30 15:04:04 +0000 2013,Paella Monday and New Years Eve dinner. The next two nights are going to be delicious. #boulder #FOOD #dinner #CUBuffs #NYE2014,
111,Sun Dec 29 09:59:14 +0000 2013,"RT @NWSBoulder: Heavier snow bands have dissipated over NE CO, only light snow through the rest of the night, diminishing around sunrise #c…",
112,Sun Dec 29 23:02:14 +0000 2013,We're looking for the two who came to help a cyclist after a hit-and-run at 30th/Baseline ~11pm Dec 23rd #Boulder #CO http://t.co/zyk3FkB4og,
113,Sun Dec 29 23:30:14 +0000 2013,"Stacked lenticulars over a range of the San Juans on Tues, courtesy: Vandy Brinlee #COwx #FourCorners #WesternSlope http://t.co/IjBL3Xwtkt",
114,Sun Dec 29 23:43:48 +0000 2013,"#Sunset from Montrose, #Colorado on Tuesday, courtesy: Phil Nesius #COwx #WesternSlope http://t.co/15fhV8BiBf",
115,Mon Dec 30 16:36:04 +0000 2013,All this road construction doesn't help for shit. I stay sitting in traffic when I go west into the hills #cdot #blow #me,"{'type': 'Point', 'coordinates': [-105.63153159, 39.76510354]}"
116,Mon Dec 30 17:45:19 +0000 2013,"A frozen #waterfall in #Colorado's Unaweep Canyon.  Taken Saturday, courtesy: Klaus Alfred Girk #WesternSlope #COwx http://t.co/iWBOxYxuGx",
117,Mon Dec 30 00:40:48 +0000 2013,#Reading lights the way! #boulder #bookworm #shopsmall #shoplocal #recycle @ The Bookworm http://t.co/pmRYlcP9he,"{'type': 'Point', 'coordinates': [-105.25902271, 40.03201777]}"
118,Sun Dec 29 20:14:14 +0000 2013,"Jameson isn't sure why we're making this road trip again. See you eventually, #Boulder! http://t.co/AcDfy3P2UR","{'type': 'Point', 'coordinates': [-88.1459278, 41.50812894]}"
119,Sun Dec 29 01:18:29 +0000 2013,Our #lumberjack men? #boulder sirishaready http://t.co/lW4IdI6QwF,
120,Sun Dec 29 06:18:03 +0000 2013,CU vs Georgia.  Buffs win 84-70.  #gobuffs #boulder #colorado #rolltad #cualumni #ralphiestompsuga @… http://t.co/5ECt3lKTLd,"{'type': 'Point', 'coordinates': [-105.26070663, 40.00478673]}"
121,Sun Dec 29 04:01:57 +0000 2013,The #heckler #official #beer of the US #cyclocross #national championships in #boulder #OvertheMtnsandThrutheMud http://t.co/PskXX9S0Qg,
122,Sun Dec 29 06:27:15 +0000 2013,"Boulder-based clothing line focuses on kids, respecting the Earth - #Boulder Daily Camera http://t.co/UzLxqJ8LUD via @dailycamera",
123,Sun Dec 29 05:13:50 +0000 2013,"Snow much lighter now, totals ranging from .5"" to 2"" across metro area #cowx",
124,Sun Dec 29 06:10:27 +0000 2013,Snow. I'm over it. #cowx,"{'type': 'Point', 'coordinates': [-104.8431887, 38.84917136]}"
125,Sun Dec 29 17:37:45 +0000 2013,@NBRunning #bearpeak #boulder #colorado,
126,Sun Dec 29 18:50:09 +0000 2013,"RT @RangerOLeary: Sunny skies, no wind &amp; about 4"" of fresh snow @ Caribou Ranch. Come &amp; enjoy this beautiful winter day! #boco_trails http:…",
127,Sun Dec 29 08:57:27 +0000 2013,One last #ride on #LakeGarda #Desenzano before heading back to #boulder today @ Chillbeach Rivoltella http://t.co/cdvmmZxYHG,"{'type': 'Point', 'coordinates': [10.57565403, 45.46021271]}"
128,Sun Dec 29 23:57:56 +0000 2013,End of a beautiful day at Lakeview Village. #cowx http://t.co/lG3vTckcsE,
129,Sun Dec 29 01:06:35 +0000 2013,#boulder at night @ Mount Sanitas Summit http://t.co/zRjRDoPOd8,"{'type': 'Point', 'coordinates': [-105.30527097, 40.034365]}"
130,Sun Dec 29 00:39:13 +0000 2013,Does anyone know what trail to take to hike to the #Boulder star on the Flatirons? #flagstaff #star,
131,Mon Dec 30 08:12:52 +0000 2013,"What's going on in #Boulder, #Colorado? Check out this great new app for news and weather! http://t.co/AVpOnsDgUb","{'type': 'Point', 'coordinates': [-105.2752, 40.0178]}"
132,Sun Dec 29 19:02:33 +0000 2013,Is it weird that we miss Christmas? #boulder #pearlst #japango,
133,Sun Dec 29 02:46:47 +0000 2013,RT @dailycamera: Snow falling in #Boulder as forecasters call for 1-3 inches by Sunday morning http://t.co/kFAhUE1yEO,
134,Mon Dec 30 14:22:32 +0000 2013,"Wow! That's one beautiful, red dawn plume of a #COwx #sunrise off s. Shields between #Loveland &amp; #Fort Collins. http://t.co/yccFH11EQE",
135,Sun Dec 29 16:40:35 +0000 2013,RT @denverpost: Many homes in four counties hardest-hit by Sept. floods are not in the floodplain: http://t.co/S9HbNcYAJb #coflood,"{'type': 'Point', 'coordinates': [-105.03956075, 39.78155952]}"
136,Sun Dec 29 12:18:40 +0000 2013,Accompanying my first cup of coffee are the sounds of snow plows out side this morning.  #coffee  #cowx,
137,Mon Dec 30 01:43:46 +0000 2013,Mountain snow possible on the #WesternSlope overnight.  Valleys stay dry.  Forecast: https://t.co/Pr7ETq2bjC #COwx #GJCO #Colorado,
138,Mon Dec 30 02:21:21 +0000 2013,"#Photography #scene #cold #sunday #Mountains #boulder #island @ Bariloche, Argentina http://t.co/6VBnAekd6b","{'type': 'Point', 'coordinates': [-71.35274734, -41.12806761]}"
139,Sun Dec 29 04:01:55 +0000 2013,The #heckler #official #beer of the US #cyclocross #national championships in #boulder… http://t.co/HB27Igi0gy,
140,Sun Dec 29 14:25:01 +0000 2013,RT @DENAirport: The airport received about 1/2 inch of snow last night.  All operations normal today. #COwx,
141,Mon Dec 30 14:10:13 +0000 2013,Giving public transportation a go. #rtd #denver #boulder @ Smelly Refineries http://t.co/dYbtBzR5jg,"{'type': 'Point', 'coordinates': [-104.93628729, 39.80240896]}"
142,Sun Dec 29 16:59:29 +0000 2013,"VERY DRY: Latest run of the GFS produces only 0.05"" of precipitation for #Denver over the *entire* next 16 days :-/ #COwx #weather",
143,Sun Dec 29 04:37:37 +0000 2013,Tea. #Boulder @ Dushanbe Teahouse http://t.co/Dm0DAS9Gf9,"{'type': 'Point', 'coordinates': [-105.27725101, 40.01544423]}"
144,Mon Dec 30 16:55:16 +0000 2013,NYE in #Boulder anyone?,
145,Mon Dec 30 05:10:45 +0000 2013,The view that never gets old. #Boulder http://t.co/vBmEAfmcUV,
146,Sun Dec 29 20:33:01 +0000 2013,Amazing run around walker ranch. #coloradodreaming #mansbestfriend #boulder #naturesgift http://t.co/ZKQGTfWGqS,"{'type': 'Point', 'coordinates': [-105.26212653, 40.01516102]}"
147,Mon Dec 30 01:03:04 +0000 2013,RT @dailycamera: Art in motion: Animations by #Boulder's @RachelRyle fuel burgeoning startup http://t.co/OrNvGDC7qd via @dc_alicia,
148,Mon Dec 30 02:35:54 +0000 2013,First Claire Davis Memorial Ride Saturday Dec 28 - #ArapahoeHigh: http://t.co/fiDKx67ahl via @youtube #ColoradoStrong #WarriorStrong,
149,Sun Dec 29 03:33:49 +0000 2013,RT @weather5280: Snow! Pics anyone? #cowx http://t.co/nLHnApq7og,
150,Sun Dec 29 16:53:00 +0000 2013,"COLORADO - BOULDER  
IT'S VERY COLD NOW 
#Boulder 
#Denver 
#springst 
#colorad http://t.co/mjwi8nDkqb","{'type': 'Point', 'coordinates': [-105.2574889, 40.0034159]}"
151,Sat Dec 28 16:18:38 +0000 2013,Chance for snow returns to Denver Saturday: http://t.co/kg6o00HhxD #cowx #Denver,
152,Thu Dec 26 22:45:50 +0000 2013,Take a break from the Christmas tradition and get out here for some #sushi tonight! #boulder #japango #sake,
153,Thu Dec 26 22:56:15 +0000 2013,Awesome bike ride today on my sister's new beach cruiser. #Boulder Creek path. Surprisingly quiet.,"{'type': 'Point', 'coordinates': [-105.20772756, 40.00584186]}"
154,Sat Dec 28 18:14:22 +0000 2013,5 mike run done and guilt eased #getfit #Boulder,"{'type': 'Point', 'coordinates': [-105.24928735, 40.01595971]}"
155,Sat Dec 28 19:59:31 +0000 2013,View from our hike today. #nottooshabby #boulder #mountains #hiking #peaks http://t.co/B7VDfhouVs,
156,Fri Dec 27 04:01:53 +0000 2013,Beautiful #boulder http://t.co/rGXN7YaIq1,"{'type': 'Point', 'coordinates': [-105.28545909, 40.01330419]}"
157,Fri Dec 27 17:42:12 +0000 2013,#boulder #colorado #skyscape and #cloudporn of the day! @ northern lights http://t.co/4rZ5pILWCZ,"{'type': 'Point', 'coordinates': [-105.27615608, 40.0599369]}"
158,Thu Dec 26 22:50:02 +0000 2013,Seeing American hustle with the fam!!! #ilovethemovies!! #boulder #americanhustle @ Cinemark Century… http://t.co/SFr5R5KESe,"{'type': 'Point', 'coordinates': [-105.25451168, 40.01727291]}"
159,Sat Dec 28 23:54:07 +0000 2013,#flatirons #boulder #winter #colorado http://t.co/9Nh1FVBdLo,
160,Fri Dec 27 03:30:29 +0000 2013,"Seasonal snowfall numbers below normal for Denver, but better numbers statewide: http://t.co/HjBMVQkg1K #cowx #snow http://t.co/h0cDLtb1CT",
161,Fri Dec 27 06:02:50 +0000 2013,Downtown #Boulder http://t.co/QDp7aJgX9O,
